ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-01,72.493337,32.565001981360766,65.62782434406643,72.493337,72.493337,-23.42633859846456,-23.42633859846456,-23.42633859846456,-23.42633859846456,-23.42633859846456,-23.42633859846456,0.0,0.0,0.0,49.066998401535436
2001-01-01,72.04541942289696,32.043128531852474,66.95994632795814,72.04541942289696,72.04541942289696,-23.490481793263186,-23.490481793263186,-23.490481793263186,-23.490481793263186,-23.490481793263186,-23.490481793263186,0.0,0.0,0.0,48.55493762963377
2002-01-01,71.59872570097218,29.19536164920308,63.15844164090433,71.59872570097218,71.59872570097218,-24.96300000000262,-24.96300000000262,-24.96300000000262,-24.96300000000262,-24.96300000000262,-24.96300000000262,0.0,0.0,0.0,46.63572570096956
2003-01-01,71.1520319682878,29.716034298971064,62.546244228132146,71.1520319682878,71.1520319682878,-24.94157474982842,-24.94157474982842,-24.94157474982842,-24.94157474982842,-24.94157474982842,-24.94157474982842,0.0,0.0,0.0,46.21045721845938
2004-01-01,70.70533821868042,29.500240796311324,63.43332136425787,70.70533821868042,70.70533821868042,-23.426338598487646,-23.426338598487646,-23.426338598487646,-23.426338598487646,-23.426338598487646,-23.426338598487646,0.0,0.0,0.0,47.27899962019278
2005-01-01,70.25742074193595,29.779066991877276,63.227293307595076,70.25742074193595,70.25742074193595,-23.490481793266838,-23.490481793266838,-23.490481793266838,-23.490481793266838,-23.490481793266838,-23.490481793266838,0.0,0.0,0.0,46.76693894866911
2006-01-01,69.81258078893981,26.872534545349005,61.134164395190446,69.81258078893981,69.81258078893981,-24.963000000000108,-24.963000000000108,-24.963000000000108,-24.963000000000108,-24.963000000000108,-24.963000000000108,0.0,0.0,0.0,44.849580788939704
2007-01-01,69.36774099650748,28.86444555452735,61.373562341153416,69.36774099650748,69.36774099650748,-24.94157474982871,-24.94157474982871,-24.94157474982871,-24.94157474982871,-24.94157474982871,-24.94157474982871,0.0,0.0,0.0,44.42616624667877
2008-01-01,68.92290130182525,28.754399446407916,62.733274622112766,68.92290130182525,68.92290130182525,-23.426338598469503,-23.426338598469503,-23.426338598469503,-23.426338598469503,-23.426338598469503,-23.426338598469503,0.0,0.0,0.0,45.49656270335575
2009-01-01,68.47684291440176,28.240899141758423,62.30258669057893,68.47684291440176,68.47684291440176,-23.490481793250936,-23.490481793250936,-23.490481793250936,-23.490481793250936,-23.490481793250936,-23.490481793250936,0.0,0.0,0.0,44.98636112115082
2010-01-01,68.03200330100185,25.435775714160144,59.2112518089889,68.03200330100185,68.03200330100185,-24.963000000000527,-24.963000000000527,-24.963000000000527,-24.963000000000527,-24.963000000000527,-24.963000000000527,0.0,0.0,0.0,43.069003301001324
2011-01-01,67.59045217168047,26.6054386185131,59.732390350474034,67.59045217168047,67.59045217168047,-24.941574749830416,-24.941574749830416,-24.941574749830416,-24.941574749830416,-24.941574749830416,-24.941574749830416,0.0,0.0,0.0,42.64887742185005
2012-01-01,67.1519363390278,27.540404388456125,62.47833878654652,67.1519363390278,67.1519363390278,-23.42633859847352,-23.42633859847352,-23.42633859847352,-23.42633859847352,-23.42633859847352,-23.42633859847352,0.0,0.0,0.0,43.72559774055428
2013-01-01,76.19895503390158,35.370852108869805,68.32394659785396,76.19895503390158,76.19895503390158,-23.490481793269492,-23.490481793269492,-23.490481793269492,-23.490481793269492,-23.490481793269492,-23.490481793269492,0.0,0.0,0.0,52.70847324063209
2014-01-01,85.22257847600002,43.64811286979456,76.80010323837429,85.22257847600002,85.22257847600002,-24.963000000006385,-24.963000000006385,-24.963000000006385,-24.963000000006385,-24.963000000006385,-24.963000000006385,0.0,0.0,0.0,60.259578475993635
